meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
18th FINA World Championships 2019,01:50.73,24/07/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,1,1,1021,Gwangju,KOR
13th FINA World Championships 2009,01:51.51,29/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,2,2,,Rome,ITA
Olympic Games Beijing 2008,01:52.03,13/08/2008,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,3,3,1047,Beijing,CHN
12th FINA World Championships 2007,01:52.09,28/03/2007,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,4,4,,Melbourne,AUS
FINA Champions Swim Series 2020,01:52.53,18/01/2020,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,5,5,952,Beijing,CHN
Olympic Games Beijing 2008,01:52.70,13/08/2008,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,6,6,1029,Beijing,CHN
CXX. Hungarian Championships,01:52.71,28/03/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,7,7,968,Debrecen,HUN
European Championships 2018,01:52.79,05/08/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,8,8,966,Glasgow,GBR
European Championships 2016,01:52.91,19/05/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,9,9,963,London,GBR
2015 U.S. National Champs,01:52.94,07/08/2015,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,10,10,962,San Antonio,USA
18th FINA World Championships 2019,01:52.96,23/07/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,11,11,961,Gwangju,KOR
