meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
14th FINA World Swimming Championships (25m) 2018,01:48.24,11/12/2018,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,1,1,1008,Hangzhou,CHN
14th FINA World Swimming Championships (25m) 2018,01:48.32,11/12/2018,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,2,2,1006,Hangzhou,CHN
FINA Swimming World Cup 2013,01:48.56,05/11/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,3,3,1015,Singapore,SGP
12th FINA World Swimming Championships (25m) 2014,01:48.61,07/12/2014,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,4,4,998,Doha,QAT
FINA/airweave Swimming World Cup 2017,01:48.67,11/08/2017,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,5,5,996,Eindhoven,NED
13th FINA World Swimming Championships (25m) 2016,01:48.76,06/12/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,6,6,994,Windsor,CAN
ISL 2019 Season - Grand Final,01:48.77,21/12/2019,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,7,7,985,Las Vegas,USA
FINA/MASTBANK Swimming World Cup 2014,01:48.88,01/11/2014,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,8,8,991,Singapore,SGP
12th FINA World Swimming Championships (25m) 2014,01:48.92,07/12/2014,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,9,9,990,Doha,QAT
European Short Course Swimming Championships 2015,01:49.00,06/12/2015,Men 200 Butterfly SCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,10,10,987,Netanya,ISR
FINA Swimming World Cup 2013,01:49.04,07/08/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,11,11,1001,Eindhoven,NED
Mutual of Omaha Duel in the Pool,01:49.05,12/12/2015,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,12,12,986,Indianapolis,USA
FINA Swimming World Cup 2013,01:49.07,17/10/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,13,13,1001,Dubai,UAE
FINA/airweave Swimming World Cup 2017,01:49.08,07/08/2017,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,14,14,985,Berlin,GER
FINA/airweave Swimming World Cup 2016,01:49.10,03/09/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,15,15,985,Moscow,RUS
-,01:49.11,10/11/2009,Men 200 Butterfly SCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,16,16,1058,Stockholm,SWE
FINA/Arena Swimming World Cup 2009,01:49.11,10/11/2009,Men 200 Butterfly SCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,16,17,1058,Stockholm,SWE
FINA/MASTBANK Swimming World Cup 2014,01:49.20,28/10/2014,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,18,18,982,Tokyo,JPN
FINA/airweave Swimming World Cup 2017,01:49.25,18/11/2017,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,19,19,981,Singapore,SGP
FINA/airweave Swimming World Cup 2017,01:49.26,07/08/2017,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,20,20,980,Berlin,GER
FINA/airweave Swimming World Cup 2017,01:49.29,11/08/2017,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,21,21,980,Eindhoven,NED
FINA/airweave Swimming World Cup 2016,01:49.33,30/08/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,22,22,979,Berlin,GER
European Short Course Swimming Championships 2009,01:49.46,12/12/2009,Men 200 Butterfly SCM Male,RUS,Russian Federation,"SKVORTSOV, Nikolay",M,28/03/1984,,,23,23,1048,Istanbul,TUR
13th FINA World Swimming Championships (25m) 2016,01:49.50,06/12/2016,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,24,24,974,Windsor,CAN
FINA/Arena Swimming World Cup 2011,01:49.50,12/11/2011,Men 200 Butterfly SCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,24,25,989,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,01:49.53,21/10/2016,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,26,26,973,Singapore,SGP
FINA/airweave Swimming World Cup 2017,01:49.59,04/10/2017,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,27,27,972,Doha,QAT
