meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA Swimming World Cup 2018,21.75,06/10/2018,Men 50 Butterfly SCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,1,1,1006,Budapest,HUN
ISL 2020 Season - Match 9,21.78,10/11/2020,Men 50 Butterfly SCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,2,2,995,Budapest,HUN
FINA/Arena Swimming World Cup 2009,21.80,14/11/2009,Men 50 Butterfly SCM Male,GER,Germany,"DEIBLER, Steffen",M,10/07/1987,,,3,3,1099,Berlin,GER
14th FINA World Swimming Championships (25m) 2018,21.81,15/12/2018,Men 50 Butterfly SCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,4,4,998,Hangzhou,CHN
ISL 2020 Season - Match 10,21.86,10/11/2020,Men 50 Butterfly SCM Male,HUN,Hungary,"SZABO, Szebasztian",M,11/03/1996,,,5,5,984,Budapest,HUN
ISL 2020 Season - Match 6,21.86,02/11/2020,Men 50 Butterfly SCM Male,HUN,Hungary,"SZABO, Szebasztian",M,11/03/1996,,,5,6,984,Budapest,HUN
FINA/Arena Swimming World Cup 2009,21.87,14/11/2009,Men 50 Butterfly SCM Male,RSA,South Africa,"SCHOEMAN, Roland",M,03/07/1980,,,7,7,1088,Berlin,GER
12th FINA World Swimming Championships (25m) 2014,21.95,06/12/2014,Men 50 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,8,8,979,Doha,QAT
ISL 2020 Season - Match 3,21.96,25/10/2020,Men 50 Butterfly SCM Male,HUN,Hungary,"SZABO, Szebasztian",M,11/03/1996,,,9,9,971,Budapest,HUN
14th FINA World Swimming Championships (25m) 2018,21.96,14/12/2018,Men 50 Butterfly SCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,9,10,978,Hangzhou,CHN
14th FINA World Swimming Championships (25m) 2018,21.97,15/12/2018,Men 50 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,11,11,976,Hangzhou,CHN
13th FINA World Swimming Championships (25m) 2016,21.98,10/12/2016,Men 50 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,12,12,975,Windsor,CAN
FINA/MASTBANK Swimming World Cup 2014,21.98,01/11/2014,Men 50 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,12,13,975,Singapore,SGP
ISL 2020 Season - Match 2,22.00,19/10/2020,Men 50 Butterfly SCM Male,HUN,Hungary,"SZABO, Szebasztian",M,11/03/1996,,,14,14,966,Budapest,HUN
FINA/MASTBANK Swimming World Cup 2014,22.02,31/08/2014,Men 50 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,15,15,,Dubai,UAE
